0	15072	35.562633
15072	30144	33.976911
30144	45216	37.997611
45216	60288	37.592887
60288	75360	36.796709
75360	90432	31.515393
90432	105504	36.259289
105504	120576	39.934979
120576	135648	37.334130
135648	150720	38.163482
150720	165792	34.686837
165792	180864	36.836518
180864	195936	35.429936
195936	211008	35.688694
211008	226080	37.267781
226080	241152	39.576699
241152	256224	35.297240
256224	271296	35.847930
271296	286368	36.697187
286368	301440	35.124735
301440	316512	40.432590
316512	331584	35.927548
331584	346656	34.262208
346656	361728	32.994958
361728	376800	33.213907
376800	391872	36.100053
391872	406944	34.275478
406944	422016	33.638535
422016	437088	35.131369
437088	452160	36.736996
452160	467232	35.562633
467232	482304	36.438429
482304	497376	41.640127
497376	512448	36.066879
512448	527520	39.729299
527520	542592	42.111200
542592	557664	39.556794
557664	572736	35.283970
572736	587808	37.360669
587808	602880	38.535032
602880	617952	37.785297
617952	633024	31.827229
633024	648096	38.680998
648096	663168	32.265127
663168	678240	35.914278
678240	693312	38.747346
693312	708384	35.536093
708384	723456	36.524682
723456	738528	39.065817
738528	753600	39.092357
753600	768672	40.538747
768672	783744	39.596603
783744	798816	39.390924
798816	813888	40.631635
813888	828960	40.233546
828960	844032	43.312102
844032	859104	36.073514
859104	874176	30.898355
874176	889248	44.605892
889248	904320	32.039544
904320	919392	40.459130
919392	934464	40.140658
934464	949536	39.085722
949536	964608	39.901805
964608	979680	35.927548
979680	994752	38.840234
994752	1009824	39.563429
1009824	1024896	36.232749
1024896	1039968	33.280255
1039968	1055040	32.935244
1055040	1070112	38.826964
1070112	1085184	37.267781
1085184	1100256	38.382431
1100256	1115328	34.912420
1115328	1130400	36.863057
1130400	1145472	35.138004
1145472	1160544	36.358811
1160544	1175616	33.300159
1175616	1190688	34.368365
1190688	1205760	29.584660
1205760	1220832	36.033705
1220832	1235904	35.529459
1235904	1250976	31.256635
1250976	1266048	36.551221
1266048	1281120	35.449841
1281120	1296192	35.138004
1296192	1311264	34.116242
1311264	1326336	37.354034
1326336	1341408	36.902866
1341408	1356480	34.958864
1356480	1371552	33.950372
1371552	1386624	32.417728
1386624	1401696	28.244427
1401696	1416768	35.675425
1416768	1431840	34.315287
1431840	1446912	32.172240
1446912	1461984	38.389066
1461984	1477056	34.925690
1477056	1492128	37.048832
1492128	1507200	33.757962
1507200	1522272	31.893577
1522272	1537344	33.353238
1537344	1552416	34.806263
1552416	1567488	34.660297
1567488	1582560	33.406316
1582560	1597632	34.633758
1597632	1612704	33.731423
1612704	1627776	32.928609
1627776	1642848	35.264066
1642848	1657920	36.882962
1657920	1672992	38.594745
1672992	1688064	36.358811
1688064	1703136	36.650743
1703136	1718208	30.367569
1718208	1733280	40.472399
1733280	1748352	39.191879
1748352	1763424	36.325637
1763424	1778496	33.525743
1778496	1793568	35.237527
1793568	1808640	38.561571
1808640	1823712	40.512208
1823712	1838784	37.851645
1838784	1853856	39.921709
1853856	1868928	32.291667
1868928	1884000	37.048832
1884000	1899072	35.343684
1899072	1914144	29.670913
1914144	1929216	33.439490
1929216	1944288	33.704883
1944288	1959360	29.518312
1959360	1974432	31.595011
1974432	1989504	34.175955
1989504	2004576	31.070860
2004576	2019648	34.474522
2019648	2034720	38.263004
2034720	2049792	37.075372
2049792	2064864	39.085722
2064864	2079936	37.254512
2079936	2095008	37.619427
2095008	2110080	35.887739
2110080	2125152	34.447983
2125152	2140224	32.862261
2140224	2155296	35.443206
2155296	2170368	30.931529
2170368	2185440	32.139066
2185440	2200512	33.180732
2200512	2215584	33.048036
2215584	2230656	38.150212
2230656	2245728	38.057325
2245728	2260800	39.317941
2260800	2275872	38.886677
2275872	2290944	31.077495
2290944	2306016	41.361465
2306016	2321088	41.706476
2321088	2336160	39.158705
2336160	2351232	32.364650
2351232	2366304	35.808121
2366304	2381376	33.804406
2381376	2396448	36.982484
2396448	2411520	33.366507
2411520	2426592	39.915074
2426592	2441664	38.475318
2441664	2456736	36.126592
2456736	2471808	32.013004
2471808	2486880	30.997877
2486880	2501952	35.628981
2501952	2517024	32.165605
2517024	2532096	35.376858
